O05208.1;389;389;100;0.0;{0 388};Saccharolobus shibatae B12;RecName: Full=Type 2 DNA topoisomerase 6 subunit A, AltName: Full=Type II DNA topoisomerase VI subunit A 2ZBK_A Chain A, Crystal Structure Of An Intact Type Ii Dna Topoisomerase: Insights Into Dna Transfer Mechanisms 2ZBK_C Chain C, Crystal Structure Of An Intact Type Ii Dna Topoisomerase: Insights Into Dna Transfer Mechanisms 2ZBK_E Chain E, Crystal Structure Of An Intact Type Ii Dna Topoisomerase: Insights Into Dna Transfer Mechanisms 2ZBK_G Chain G, Crystal Structure Of An Intact Type Ii Dna Topoisomerase: Insights Into Dna Transfer Mechanisms CAA71605.1 type II DNA topoisomerase subunit A
WP_012711262.1;389;389;100;0.0;{0 388};Sulfolobus islandicus;DNA topoisomerase IV subunit A
WP_014512596.1;389;389;100;0.0;{0 388};Sulfolobus islandicus;DNA topoisomerase IV subunit A
WP_012713656.1;389;389;100;0.0;{0 388};Sulfolobus islandicus;DNA topoisomerase IV subunit A
WP_012717516.1;389;389;100;0.0;{0 388};Sulfolobus islandicus;DNA topoisomerase IV subunit A
WP_009992416.1;389;389;100;0.0;{0 388};Saccharolobus solfataricus;DNA topoisomerase IV subunit A
WP_069281697.1;389;389;100;0.0;{0 388};Sulfolobus sp. A20;DNA topoisomerase IV subunit A
WP_110369450.1;386;385;100;0.0;{1 385};Metallosphaera hakonensis;DNA topoisomerase IV subunit A
WP_009074921.1;386;385;100;0.0;{1 385};Metallosphaera yellowstonensis;DNA topoisomerase IV subunit A
WP_013737079.1;386;385;100;0.0;{1 385};Metallosphaera cuprina;DNA topoisomerase IV subunit A
WP_110270914.1;386;385;100;0.0;{1 385};Acidianus brierleyi;DNA topoisomerase IV subunit A
WP_012021697.1;386;385;100;0.0;{1 385};Metallosphaera sedula;DNA topoisomerase IV subunit A
PVU71055.1;386;385;100;0.0;{1 385};Sulfolobus sp. SCGC AB-777_L09;DNA topoisomerase VI
ARM76592.1;386;385;100;0.0;{1 385};Acidianus manzaensis;DNA topoisomerase VI
PVU74558.1;385;384;100;0.0;{1 384};Sulfolobus sp. SCGC AB-777_G06;DNA topoisomerase VI
WP_110380712.1;386;385;100;0.0;{1 385};Acidianus sulfidivorans;DNA topoisomerase IV subunit A
WP_011278152.1;386;384;99;0.0;{1 384};Sulfolobus acidocaldarius;DNA topoisomerase IV subunit A
WP_010979317.1;387;386;100;0.0;{0 385};Sulfurisphaera tokodaii;DNA topoisomerase IV subunit A
PVU69993.1;386;385;100;0.0;{1 385};Sulfolobales archaeon SCGC AB-777_K20;DNA topoisomerase VI
